is:open label:{{param}},waiting4reviewer,waiting4committer
2021-08-20,14,31
2021-08-19,11,31
2021-08-18,10,30
2021-08-17,14,28
2021-08-16,13,31
2021-08-15,13,31
2021-08-14,13,32
2021-08-13,16,31
2021-08-12,13,31
2021-08-11,14,33
2021-08-10,13,32
2021-08-09,14,32
2021-08-08,14,32
2021-08-07,14,32
2021-08-06,13,32
2021-08-05,11,32
2021-08-04,11,32
2021-08-03,11,38
2021-08-02,11,37
2021-08-01,11,37
2021-07-31,14,34
2021-07-30,14,32
2021-07-29,14,32
2021-07-28,12,33
2021-07-27,13,32
2021-07-26,14,30
2021-07-25,14,30
2021-07-24,14,30
2021-07-23,18,27
2021-07-22,19,28
2021-07-21,15,29
2021-07-20,15,27
2021-07-19,17,26
2021-07-18,17,26
